strategy,precision,recall,f1
fixed_low_0.05,0.22370919864779823,0.6208116963402571,0.3288995877394448
fixed_moderate_0.15,0.16889987454143024,0.7677577893175074,0.27688706193827073
oracle_leaky,0.23961721843714362,0.8800074183976261,0.37667075707911474
